year,date,value,series_id,series_title,series_survey,series_seasonally_adjusted,series_periodicity_id,series_periodicity_code,series_periodicity_name,series_area_id,series_area_code,series_area_name,series_items_id,series_items_code,series_items_name,period_id,period_code,period_abbreviation,period_name,period_month,period_type,pct_change
2019,2019-09-01,256.759,CUUR0000SA0,"All items in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0,SA0,All items,M09,M09,SEP,September,9,monthly,0.017113045131695204
2019,2019-10-01,257.346,CUUR0000SA0,"All items in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0,SA0,All items,M10,M10,OCT,October,10,monthly,0.017640429444213845
2019,2019-11-01,257.208,CUUR0000SA0,"All items in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0,SA0,All items,M11,M11,NOV,November,11,monthly,0.020512779818916194
2018,2018-11-01,259.105,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M11,M11,NOV,November,11,monthly,0.022142710618086703
2018,2018-12-01,259.083,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M12,M12,DEC,December,12,monthly,0.021789886337642894
2019,2019-01-01,260.122,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M01,M01,JAN,January,1,monthly,0.021536455674329824
2019,2019-02-01,261.114,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M02,M02,FEB,February,2,monthly,0.020841885504509605
2019,2019-03-01,261.836,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M03,M03,MAR,March,3,monthly,0.020365535248041855
2019,2019-04-01,262.332,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M04,M04,APR,April,4,monthly,0.02064779690691565
2019,2019-05-01,262.59,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M05,M05,MAY,May,5,monthly,0.019889773137736988
2019,2019-06-01,263.177,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M06,M06,JUN,June,6,monthly,0.02126528442317932
2019,2019-07-01,263.566,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M07,M07,JUL,July,7,monthly,0.022100540200956198
2019,2019-08-01,264.169,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M08,M08,AUG,August,8,monthly,0.02386323116754263
2019,2019-09-01,264.522,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M09,M09,SEP,September,9,monthly,0.023577075328233388
2019,2019-10-01,265.059,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M10,M10,OCT,October,10,monthly,0.023144949298047335
2019,2019-11-01,265.108,CUUR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",All urban consumers,False,R,R,Monthly,0000,0000,U.S. city average,SA0L1E,SA0L1E,All items less food and energy,M11,M11,NOV,November,11,monthly,0.02316821365855537
